,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
91,10280,377 RECTOR PLACE,4,X,16951,179174,1,238,239,133,0,5089071,28020167,1985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
92,10280,350 ALBANY STREET,3,P,27838,123284,1,133,133,287.38,287,3560388,18083695,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Multi Faml. w Elevator,L Manhattan
93,10280,250 SOUTH END AVENUE,4,X,12644,86763,1,109,110,121.83,0,2550164,14093106,1985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
94,10280,300 ALBANY STREET,4,P,16108,72913,1,107,110,133.58,0,2941199,11582106,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
95,10280,380 RECTOR PLACE,4,X,23910,203837,1,246,247,160,0,6131696,35271447,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
96,10280,280 RECTOR PLACE,4,X,15000,81667,1,121,122,174.28,0,2378712,13746603,1985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
97,10280,300 RECTOR PLACE,4,X,25978,106271,1,153,154,171.38,0,3386260,17786257,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
98,10280,200 RECTOR PLACE,4,X,37248,428589,1,545,547,166,0,11232008,68471375,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
99,10280,21 SOUTH END AVENUE,4,X,45203,194762,1,182,184,218,0,6346800,31733556,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
100,10280,99 BATTERY PLACE,4,X,24167,251929,1,293,294,199,0,5982747,40843811,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
