,AssessTot,LotArea,BldgArea,LotFront,BldgFront,ResidFAR,CommFAR,FacilFAR,YearBuilt,IfAlter,Central Harlem,Chelsea and Clinton,East Harlem,Gramercy Park and Murray Hill,Greenwich Village and Soho,Lower Manhattan,Lower East Side,Upper East Side,Upper West Side,Inwood and Washington Heights,LandUse_01,LandUse_02,LandUse_03,LandUse_04,LandUse_05,LandUse_06,LandUse_07,LandUse_08,LandUse_09,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X
97,17786257.0,25978.0,106271.0,171.38,0.0,0.0,0.0,0.0,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
98,68471375.0,37248.0,428589.0,166.0,0.0,0.0,0.0,0.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,31733556.0,45203.0,194762.0,218.0,0.0,0.0,0.0,0.0,1988.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100,40843811.0,24167.0,251929.0,199.0,0.0,0.0,0.0,0.0,1988.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,100766250.0,79338.0,628200.0,259.0,0.0,0.0,0.0,0.0,1988.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
103,93778522.0,46266.0,523677.0,369.0,0.0,0.0,0.0,0.0,2003.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104,52036644.0,20763.0,344863.0,202.76,202.0,0.0,0.0,0.0,2006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
106,63855021.0,30713.0,507070.0,164.0,235.77,0.0,0.0,0.0,2006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
107,54026552.0,35352.0,407751.0,198.0,200.0,0.0,0.0,0.0,2006.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
108,32528251.0,28721.0,230066.0,247.41,247.0,0.0,0.0,0.0,1985.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
109,36118350.0,17353.0,233010.0,196.0,0.0,0.0,0.0,0.0,2008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110,75425400.0,32218.0,377325.0,260.0,0.0,0.0,0.0,0.0,2008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
111,39055053.0,14500.0,289251.0,196.58,196.0,0.0,0.0,0.0,2000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,36541800.0,23902.0,325515.0,156.0,108.0,10.0,15.0,15.0,1969.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
115,13592700.0,67342.0,112000.0,389.14,116.0,10.0,15.0,15.0,1967.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
118,43639650.0,183456.0,193026.0,1020.32,249.0,10.0,15.0,15.0,1949.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124,1811250.0,4100.0,20500.0,39.42,39.0,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
127,19327950.0,14490.0,316150.0,72.08,70.0,10.0,15.0,15.0,1931.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
128,34937100.0,17440.0,447452.0,88.75,88.75,10.0,15.0,15.0,1928.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
129,33367050.0,15529.0,368315.0,80.25,80.0,10.0,15.0,15.0,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
132,33721650.0,15722.0,309381.0,79.0,79.0,10.0,15.0,15.0,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
133,57928950.0,22197.0,650740.0,105.08,105.0,10.0,15.0,15.0,1913.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
134,27445050.0,16716.0,335184.0,79.75,80.0,10.0,15.0,15.0,1917.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
135,32310900.0,13967.0,303086.0,78.0,78.0,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
136,49352400.0,46055.0,860889.0,277.58,277.58,10.0,15.0,15.0,1923.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
137,8215650.0,9372.0,143000.0,53.25,53.25,10.0,15.0,15.0,1900.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
138,28062000.0,21490.0,389927.0,116.25,116.25,10.0,15.0,15.0,1904.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
139,24977250.0,13323.0,300676.0,81.75,81.75,10.0,15.0,15.0,1927.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
140,43392150.0,18640.0,345540.0,124.87,125.0,10.0,15.0,15.0,1897.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
141,99039150.0,42178.0,1165659.0,362.33,362.33,10.0,15.0,15.0,1930.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
142,24021450.0,31350.0,240279.0,195.92,195.92,10.0,15.0,15.0,1904.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
