,AssessTot,LotArea,BldgArea,LotFront,BldgFront,ResidFAR,CommFAR,FacilFAR,YearBuilt,IfAlter,Central Harlem,Chelsea and Clinton,East Harlem,Gramercy Park and Murray Hill,Greenwich Village and Soho,Lower Manhattan,Lower East Side,Upper East Side,Upper West Side,Inwood and Washington Heights,LandUse_01,LandUse_02,LandUse_03,LandUse_04,LandUse_05,LandUse_06,LandUse_07,LandUse_08,LandUse_09,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X
16148,225891.0,1975.0,3980.0,20.0,20.0,6.0,0.0,6.0,1901.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16149,225891.0,1975.0,3980.0,20.0,20.0,6.0,0.0,6.0,1901.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16154,1069650.0,2115.0,3870.0,21.08,21.0,10.0,2.0,10.0,1930.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16157,17743050.0,13825.0,142260.0,140.0,140.0,10.0,2.0,10.0,1962.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16162,1508400.0,2345.0,11586.0,23.75,23.75,10.0,2.0,10.0,1940.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16163,1508400.0,2345.0,11586.0,23.75,24.0,10.0,2.0,10.0,1940.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16171,8705700.0,26465.0,44500.0,197.5,47.0,10.0,2.0,10.0,1966.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16175,10136700.0,6898.0,90000.0,49.33,49.33,10.0,2.0,10.0,1921.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16176,6951600.0,5251.0,60652.0,73.25,73.0,6.02,0.0,6.5,2006.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16177,9698850.0,18084.0,83000.0,74.83,74.83,6.02,0.0,6.5,1930.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16180,1223100.0,2500.0,13375.0,25.0,25.0,6.02,0.0,6.5,1910.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16188,11368350.0,93812.0,2500.0,197.5,24.0,0.0,0.0,0.0,1910.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16190,7757550.0,16200.0,80000.0,123.42,111.0,10.0,2.0,10.0,1941.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16193,14217750.0,4836.0,93314.0,47.35,47.35,10.0,2.0,10.0,2001.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16202,45375300.0,33122.0,438635.0,225.0,195.0,10.0,2.0,10.0,1980.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16203,4065300.0,7406.0,44436.0,75.0,75.0,10.0,2.0,10.0,1938.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16205,736650.0,3308.0,9376.0,33.5,33.5,10.0,2.0,10.0,1929.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16209,13727245.0,9391.0,88135.0,73.0,0.0,10.0,2.0,10.0,1984.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16214,4032450.0,8048.0,66370.0,98.75,98.25,6.02,0.0,6.5,1931.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16215,150130350.0,279967.0,1385425.0,551.5,390.0,6.02,0.0,6.5,1950.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16216,10806750.0,17775.0,85590.0,98.75,79.25,6.02,0.0,6.5,1960.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16217,5359050.0,63350.0,16000.0,1104.83,170.0,0.0,2.0,0.0,1982.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16218,49885200.0,28712.0,245800.0,325.0,0.0,6.02,0.0,6.5,2002.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16219,45823500.0,80000.0,480000.0,197.0,0.0,6.02,6.0,6.5,1931.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16221,274469850.0,753175.0,2124441.0,1287.6,197.0,6.02,0.0,6.5,1910.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16225,266370745.0,362642.0,1153372.0,970.0,0.0,6.02,0.0,6.5,1900.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16226,248645250.0,129000.0,800802.0,142.0,0.0,6.02,6.0,6.5,2008.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16227,78862500.0,71692.0,835279.0,197.5,176.0,10.0,2.0,10.0,1985.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16230,15411600.0,23581.0,94736.0,192.5,0.0,10.0,3.4,10.0,2011.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16231,6021000.0,22550.0,200.0,257.67,10.0,10.0,3.4,10.0,2012.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16234,56158643.0,45526.0,457946.0,197.5,195.08,10.0,2.0,10.0,1984.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16236,12244950.0,13114.0,98940.0,104.75,104.75,10.0,2.0,10.0,1948.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16237,4015350.0,21075.0,34000.0,197.0,197.0,10.0,2.0,10.0,1953.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16238,1144800.0,2575.0,9954.0,83.92,83.92,10.0,2.0,10.0,1954.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16240,63556201.0,14868.0,413297.0,74.5,74.6,10.0,2.0,10.0,1989.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16244,612072900.0,2675000.0,8942176.0,1362.0,1362.0,3.44,0.0,6.5,1945.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16245,185614650.0,828650.0,3122165.0,650.0,71.5,3.44,0.0,6.5,1947.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16246,8155350.0,79275.0,19806.0,455.0,163.5,0.0,0.0,0.0,1900.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16251,3578400.0,44000.0,750.0,171.5,25.0,0.0,0.0,0.0,1920.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16258,28341900.0,119510.0,197141.0,102.67,195.0,6.02,0.0,6.5,1950.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16259,95628600.0,230066.0,1797891.0,329.75,128.0,7.52,2.0,10.0,1973.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16260,39688200.0,36897.0,385786.0,546.06,135.0,7.52,2.0,10.0,1973.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16263,1552500.0,1185.0,4149.0,19.75,19.75,10.0,15.0,15.0,1900.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16267,105500000.0,30200.0,747576.0,128.08,128.08,10.0,15.0,15.0,1924.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16268,30396600.0,13800.0,304345.0,79.5,80.0,10.0,12.0,12.0,1915.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16269,60885900.0,27200.0,654137.0,200.0,200.0,10.0,15.0,15.0,1958.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16272,45620550.0,13550.0,362850.0,76.83,77.0,10.0,15.0,15.0,1931.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16274,1858950.0,1975.0,5190.0,20.0,20.0,10.0,15.0,15.0,1900.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16275,302941350.0,22448.0,1079378.0,205.0,205.0,10.0,15.0,15.0,2002.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16277,27366750.0,14947.0,217855.0,50.0,50.0,10.0,15.0,15.0,1917.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16282,37948500.0,5400.0,111653.0,143.0,143.0,10.0,15.0,15.0,1908.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16283,338500000.0,45800.0,1642675.0,200.25,0.0,10.0,15.0,15.0,1998.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16284,771809400.0,87863.0,2245112.0,200.83,0.0,10.0,15.0,15.0,2005.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16285,122134950.0,25570.0,493107.0,203.75,200.0,10.0,14.0,14.0,1972.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16288,9521550.0,14476.0,172065.0,144.17,144.17,10.0,12.0,12.0,1902.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16289,546733.0,2092.0,7293.0,20.83,21.0,10.0,12.0,12.0,1910.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16290,3038850.0,12563.0,60750.0,125.0,125.0,10.0,12.0,12.0,1919.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16293,20460600.0,7656.0,75421.0,76.25,76.25,10.0,12.0,12.0,1905.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16294,2406150.0,3515.0,23433.0,35.0,35.0,10.0,12.0,12.0,1906.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16295,322200.0,1506.0,3000.0,15.0,15.0,10.0,12.0,12.0,1910.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16296,2160000.0,3015.0,23869.0,30.0,30.0,10.0,12.0,12.0,1906.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16299,1149200.0,2410.0,10350.0,24.0,24.0,10.0,14.0,14.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16300,127612800.0,44475.0,119000.0,203.77,203.0,10.0,14.0,14.0,1938.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16305,127000000.0,33639.0,734668.0,200.0,200.0,10.0,15.0,15.0,1984.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16306,63292500.0,15565.0,426056.0,155.0,80.0,10.0,12.0,12.0,1988.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16314,1801800.0,3116.0,9429.0,38.33,38.33,10.0,12.0,12.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16315,1544850.0,2510.0,11190.0,25.0,25.0,10.0,12.0,12.0,1920.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16317,8973900.0,6025.0,57909.0,60.0,60.0,10.0,15.0,15.0,1900.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16318,156209850.0,32134.0,912955.0,200.83,172.0,10.0,15.0,15.0,1988.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16319,8595900.0,17180.0,54649.0,150.0,150.0,10.0,12.0,12.0,1893.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16327,11555100.0,2090.0,7263.0,20.75,20.75,10.0,14.0,14.0,1939.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16334,29937150.0,14834.0,224919.0,60.0,60.0,10.0,14.0,14.0,1925.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16338,7066350.0,21966.0,45604.0,125.0,125.0,10.0,12.0,12.0,1900.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16340,99404100.0,26100.0,565000.0,125.0,125.0,10.0,12.0,12.0,1987.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16341,244260000.0,42049.0,1047390.0,200.83,197.0,10.0,15.0,15.0,1970.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16352,10983600.0,16066.0,40000.0,160.0,140.0,10.0,14.0,14.0,1909.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16358,1700000.0,3417.0,13750.0,34.0,34.0,10.0,12.0,12.0,1920.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16363,7384050.0,1975.0,6025.0,25.0,25.0,10.0,14.0,14.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16364,9926100.0,8067.0,30328.0,50.0,50.0,10.0,14.0,14.0,1925.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16366,4055400.0,2500.0,11000.0,25.0,25.0,10.0,14.0,14.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16371,439199100.0,102452.0,2508386.0,200.83,192.0,10.0,12.0,12.0,1971.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16372,10014300.0,6925.0,71615.0,64.33,64.0,10.0,12.0,12.0,1903.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16374,1697850.0,4775.0,22645.0,50.0,50.0,10.0,14.0,14.0,1930.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16379,191612250.0,62459.0,1020000.0,200.83,200.0,10.0,14.0,14.0,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16381,171088650.0,48200.0,865759.0,290.0,290.0,10.0,12.0,12.0,1963.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16382,310000000.0,82340.0,1962900.0,200.83,201.0,10.0,12.0,12.0,1961.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16383,76631859.0,30125.0,450162.0,200.0,0.0,10.0,15.0,15.0,1927.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16385,280000000.0,80333.0,1613847.0,200.83,200.83,10.0,12.0,12.0,1961.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16387,295687800.0,74631.0,1482208.0,200.83,159.67,10.0,15.0,15.0,1965.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16392,13068000.0,10041.0,98616.0,100.0,89.0,10.0,15.0,15.0,1911.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16393,65476928.0,21300.0,332705.0,101.0,0.0,10.0,15.0,15.0,1968.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16397,489134250.0,90375.0,1900241.0,200.83,200.0,10.0,12.0,12.0,1968.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16401,647550.0,3138.0,8949.0,31.25,31.25,10.0,15.0,15.0,1980.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
16405,15283800.0,25154.0,181503.0,151.0,100.42,10.0,12.0,12.0,1923.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16408,30438000.0,20083.0,243671.0,200.83,200.0,10.0,15.0,15.0,1925.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16411,16085707.0,7531.0,106502.0,75.0,0.0,10.0,15.0,15.0,1982.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16412,15969603.0,7541.0,76364.0,100.0,0.0,10.0,15.0,15.0,1926.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16413,125321404.0,24237.0,698686.0,225.5,225.6,10.0,12.0,12.0,1987.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16414,45464400.0,27618.0,98374.0,200.83,200.83,10.0,15.0,15.0,1925.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16415,128600000.0,12552.0,542584.0,50.0,50.0,10.0,15.0,15.0,1988.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16419,801992.0,2092.0,8180.0,20.83,21.0,10.0,12.0,12.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16420,842850.0,2092.0,9816.0,20.83,20.83,10.0,12.0,12.0,1924.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16422,41267700.0,25125.0,418114.0,200.83,197.0,10.0,15.0,15.0,1962.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16428,99828918.0,18577.0,531657.0,85.0,0.0,10.0,12.0,12.0,1986.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16432,3654900.0,3930.0,23759.0,39.83,39.83,10.0,15.0,15.0,1916.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16436,1391942.0,1685.0,8790.0,20.0,20.0,10.0,15.0,15.0,1918.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16437,20143980.0,20621.0,199952.0,106.0,63.0,10.0,15.0,15.0,1924.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16447,5224050.0,7230.0,57302.0,72.0,72.0,10.0,4.0,10.0,1930.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16449,11309396.0,4518.0,54473.0,45.0,45.0,10.0,15.0,15.0,1990.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16454,22344750.0,20083.0,353996.0,200.83,200.83,10.0,4.0,10.0,1929.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16461,123297037.0,41437.0,497529.0,206.0,0.0,10.0,4.0,10.0,1930.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16462,48034799.0,17924.0,349853.0,100.42,0.0,10.0,4.0,10.0,1930.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16466,31515750.0,22713.0,268420.0,150.0,80.0,0.0,10.0,10.0,1923.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16470,9270900.0,9876.0,49008.0,74.17,74.0,0.0,10.0,10.0,1963.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16472,12973950.0,7275.0,151324.0,72.75,72.75,10.0,15.0,15.0,1926.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16476,346634115.0,79000.0,1259189.0,197.5,197.0,0.0,10.0,10.0,2003.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16477,49041450.0,54060.0,275345.0,297.17,297.17,10.0,15.0,15.0,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16478,278687700.0,27156.0,1100000.0,197.6,197.0,10.0,15.0,15.0,2000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16479,11368350.0,19250.0,119905.0,25.0,25.0,10.0,12.0,12.0,1930.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16480,1518300.0,2469.0,6907.0,25.0,25.0,10.0,15.0,15.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16481,7884900.0,2230.0,15610.0,22.58,23.0,10.0,15.0,15.0,1914.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16482,80952300.0,10109.0,235300.0,77.33,100.0,10.0,15.0,15.0,1921.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16483,6259500.0,6863.0,170744.0,69.5,69.5,10.0,15.0,15.0,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16485,72970650.0,54060.0,300359.0,297.17,297.17,10.0,15.0,15.0,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16486,66008700.0,40200.0,150000.0,400.0,400.0,10.0,15.0,15.0,1998.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16487,8666100.0,7538.0,84000.0,75.0,75.0,10.0,15.0,15.0,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16488,6745064.0,10401.0,12176.0,105.0,100.5,10.0,15.0,15.0,1919.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16489,2334600.0,6928.0,27738.0,69.0,69.0,10.0,15.0,15.0,1903.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16490,218992050.0,29630.0,855000.0,200.1,200.0,10.0,15.0,15.0,1999.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16491,6511500.0,24176.0,85092.0,219.33,211.0,10.0,10.0,10.0,1903.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16492,5793750.0,9708.0,36000.0,96.67,96.0,10.0,10.0,10.0,2000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16494,115800000.0,17574.0,690000.0,176.5,175.0,10.0,10.0,10.0,2000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16496,18268650.0,17575.0,211466.0,75.25,75.0,10.0,10.0,10.0,1920.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16497,730107.0,2508.0,8484.0,25.08,25.08,10.0,10.0,10.0,1920.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16500,4638600.0,5698.0,55486.0,56.75,56.75,10.0,10.0,10.0,1927.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16503,5158800.0,10030.0,41287.0,50.0,50.0,10.0,10.0,10.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16504,2983500.0,5000.0,23000.0,50.17,50.17,10.0,10.0,10.0,1900.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16508,4894200.0,25305.0,63175.0,126.04,95.0,10.0,10.0,10.0,1912.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16509,353898000.0,65765.0,1721672.0,200.83,200.83,10.0,14.0,14.0,1970.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16514,1595700.0,1237.0,4912.0,18.75,18.75,10.0,10.0,10.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16515,777150.0,1237.0,3648.0,18.75,19.0,10.0,10.0,10.0,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16516,582985.0,1238.0,3950.0,18.75,19.0,10.0,10.0,10.0,1920.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
